Population Population_Type Treatment Replicate Date Longest_leaf n_Leaves Biomass Shoot_biomass Root_biomass Root.shoot_ratio Experience Stage Exp_Pop
PTP N T 3 2012-07-30 NA NA NA NA NA NA N Juvenile N.PTP
PTP N T 4 2012-07-30 NA NA NA NA NA NA N Juvenile N.PTP
PTP N T 5 2012-07-30 NA NA NA NA NA NA N Juvenile N.PTP
LHP#1 N T 1 2012-07-30 63 52 3.646 1.019 2.627 2.57801766437684 N Juvenile N.LHP#1
LHP#1 N T 2 2012-07-30 NA NA NA NA NA NA N Juvenile N.LHP#1
LHP#1 N T 3 2012-07-30 NA NA NA NA NA NA N Juvenile N.LHP#1
LHP#1 N T 4 2012-07-30 NA NA NA NA NA NA N Juvenile N.LHP#1
LHP#1 N T 5 2012-07-30 NA NA NA NA NA NA N Juvenile N.LHP#1
BLP N T 1 2012-07-30 36 35 2.176 0.739 1.437 1.94451962110961 N Juvenile N.BLP
BLP N T 2 2012-07-30 NA NA NA NA NA NA N Juvenile N.BLP
BLP N T 3 2012-07-30 NA NA NA NA NA NA N Juvenile N.BLP
BLP N T 4 2012-07-30 NA NA NA NA NA NA N Juvenile N.BLP
BLP N T 5 2012-07-30 NA NA NA NA NA NA N Juvenile N.BLP
Ana N T 1 2012-07-30 12 13 0.243 0.058 0.185 3.18965517241379 N Juvenile N.Ana
Ana N T 2 2012-07-30 22 24 2.145 0.279 1.866 6.68817204301075 N Juvenile N.Ana
Ana N T 3 2012-07-30 16 21 0.549 0.166 0.383 2.30722891566265 N Juvenile N.Ana
Ana N T 4 2012-07-30 NA NA NA NA NA NA N Juvenile N.Ana
Ana N T 5 2012-07-30 NA NA NA NA NA NA N Juvenile N.Ana
