date,time,db,Hot/cold te,time of day (early/midday),Te 30,Te 60,site,SVL,Ta,Tb,Tset,habitat type,pressed,sex,Tsub,light,substrate,sub type,behavior,de,E
21-Jul-15,1:39:00 PM,3.646,H,M,39.56,,Salt springs LLP,49.5,,34.1,37.746,LLP,n,m,,overcast,tree,0.25m up TO,,1.814,1.009922823
22-Jul-15,8:07:00 AM,,,,,,OHV LLP,,,,,,,,,,,,,,
22-Jul-15,8:12:00 AM,,,,,,OHV LLP,47,,,,,,m,,,ground,dead wood,,,
22-Jul-15,8:30:00 AM,,,,27.21,,OHV LLP,,29.6,,,,,,,,,,,,
22-Jul-15,9:03:00 AM,1.159,C,E,28.98,29.88,OHV LLP,50.5,,35.6,36.759,LLP,n,m,34.6,full sun,ground,leaf litter,,7.779,0.851009127
22-Jul-15,9:11:00 AM,,,,,,OHV LLP,,30.9,,,,,,,,,,,,
22-Jul-15,10:28:00 AM,,,,,,OHV LLP,,31.4,,,,,,,,,,,,
22-Jul-15,10:40:00 AM,,,,,,38 SPS,,31.8,,,,,,,,,,,,
22-Jul-15,10:53:00 AM,,,,,,38 SPS,,34.5,,,,,,,,,,,,
22-Jul-15,11:48:00 AM,,,,,,38 SPS,,34.7,,,,,,,,,,,,
22-Jul-15,12:25:00 PM,,,,,,38 SPS,,35.5,,,,,,,,,,,,
22-Jul-15,2:34:00 PM,2.584,,M,,,Kerr LLP,50.5,,33.1,35.684,LLP,n,m,,full sun,ground,leaf litter,,,
22-Jul-15,2:40:00 PM,0.132,,M,,,Kerr LLP,51,30.9,36.3,36.432,LLP,n,m,35.4,mix,ground,leaf litter,,,
20-Jul-16,8:40:00 AM,3.16454545,C,E,29.53,29.46,14/5 SPS,49,,34.8,37.96454545,SPS,n,m,,full sun,ground,dead wood,,8.43454545,0.624811382
20-Jul-16,11:45:00 AM,0.21140496,H,M,37.57,,Salt Springs,53.5,,34.4,34.61140496,LLP,m,m,,mix,tree,0.5m up TO,,2.95859504,0.92854549
20-Jul-16,12:16:00 PM,0.08107438,H,M,42.73,,Salt Springs,55.5,33.4,37.4,37.48107438,LLP,y,m,,,tree,,,5.24892562,0.9845541
20-Jul-16,12:22:00 PM,1.61553719,H,M,42.73,,Salt Springs,55,,36.7,35.08446281,LLP,n,m,,mix,tree,1m up TO,,7.64553719,0.788695398
20-Jul-16,1:02:00 PM,1.1668595,H,M,42.71,,Salt Springs,51,,34.3,35.4668595,LLP,n,m,,shade,tree,1.5m up TO,,7.2431405,0.838901441
21-Jul-16,8:24:00 AM,3.1068595,C,E,25.5,,OHV LLP,51.5,,32.4,35.5068595,LLP,y (likely),m,,sun,ground,leaf litter,,10.0068595,0.689527019
21-Jul-16,8:45:00 AM,6.1568595,C,E,26.69,,OHV LLP,55.5,,31,37.1568595,LLP,n,m,,sun,ground,grasses,,10.4668595,0.411775853
21-Jul-16,9:05:00 AM,3.48586777,C,E,27.71,,OHV LLP,50,,32.2,35.68586777,LLP,n,m,,sun,ground,seen on road,,7.97586777,0.562948149
21-Jul-16,9:42:00 AM,3.56330579,C,E,30.07,,OHV LLP,52.5,30.9,33.6,37.16330579,LLP,y,m,,full sun,ground,leaf litter,,7.09330579,0.497652308
21-Jul-16,9:55:00 AM,3.00421488,C,E,29.25,,OHV LLP,45,,35.4,38.40421488,LLP,y,m,,full sun,ground,open sand,,9.15421488,0.671821678
20-Jul-16,9:40:00 AM,2.75636364,C,E,35,34.48,14/5 SPS,55,,34.5,37.25636364,SPS,n,m,,full sun,ground,deadwood,,2.25636364,0.221595487
20-Jul-16,9:40:00 AM,3.57173554,C,E,35,34.48,14/5 SPS,47,,34.8,38.37173554,SPS,n,m,,full sun,ground,open sand,,3.37173554,0.059316633
20-Jul-16,9:30:00 AM,0.67206612,,E,34.41,34.48,14/5 SPS,49.5,,37.2,36.52793388,SPS,n,m,,mix,ground,open sand,,2.11793388,0.682678422
