Aquarium_ID,Food_Ratio,Pike_presence,distance from the partitioning,distance from the bottom,tot_dist_swimming,time_measured(start or end of experiment)
22,05_low,y,24.61538462,18.84615385,27.07106781,end
22,05_low,y,25,18.46153846,30,end
23,05_low,y,23.84615385,6.923076923,64.14213562,end
24,05_low,n,8.846153846,10.38461538,77.68315529,end
25,15_high,y,18.84615385,19.61538462,29.14213562,end
25,15_high,y,22.30769231,19.61538462,38.2514077,end
26,15_high,n,16.15384615,17.69230769,45,end
26,15_high,n,20.38461538,16.53846154,37.07106781,end
27,05_low,n,16.92307692,8.076923077,61.53567895,end
27,05_low,n,13.07692308,11.53846154,54.14213562,end
28,15_high,n,12.30769231,11.92307692,48.57388321,end
28,15_high,n,13.46153846,11.92307692,47.68315529,end
29,05_low,n,17.30769231,11.92307692,42.07106781,end
29,05_low,n,13.46153846,11.15384615,71.53567895,end
29,05_low,n,15.76923077,5,15,end
30,15_high,y,24.23076923,16.15384615,25,end
30,15_high,y,25,20,0,end
31,05_low,y,10.76923077,15,20,end
32,15_high,y,17.75641026,13.20512821,32.39354,end
32,15_high,y,20.38461538,8.846153846,37.02459174,end
33,10_medium,y,20.38461538,17.69230769,43.2514077,end
33,10_medium,y,17.30769231,16.53846154,42.39354332,end
33,10_medium,y,20,15.76923077,33.28427125,end
34,15_high,y,21.92307692,18.84615385,29.7542231,end
35,10_medium,n,22.30769231,5.384615385,52.07106781,end
35,10_medium,n,20.38461538,6.923076923,51.21320344,end
35,10_medium,n,19.61538462,6.538461538,81.53567895,end
36,10_medium,y,18.84615385,16.53846154,31.21320344,end
39,15_high,n,16.92307692,15,25,end
39,15_high,n,18.46153846,16.15384615,39.14213562,end
39,15_high,n,24.61538462,17.69230769,12.07106781,end
40,15_high,n,9.615384615,15,35,end
40,15_high,n,16.15384615,16.15384615,62.07106781,end
40,15_high,n,15.76923077,15.38461538,57.07106781,end
41,15_high,n,5.769230769,20,10,end
41,15_high,n,5,20,20,end
41,15_high,n,16.92307692,18.46153846,30.8113883,end
43,15_high,n,25,19.61538462,20,end
46,10_medium,n,21.15384615,14.23076923,50,end
46,10_medium,n,22.69230769,13.84615385,44.14213562,end
46,10_medium,n,19.23076923,16.92307692,32.07106781,end
47,10_medium,n,15,16.15384615,47.07106781,end
47,10_medium,n,19.23076923,17.69230769,31.21320344,end
48,05_low,n,15,15,78.2514077,end
48,05_low,n,13.46153846,14.23076923,67.07106781,end
48,05_low,n,12.69230769,17.69230769,49.14213562,end
