Mom.Squirrel.ID,Offspring.Growth.Rate,Previous.Year.Cones,Current.Year.Cones,Corrected.FCM.ng.g.dry,scaled.parturition.date,scaled.litter.size
4998749988,2.22173913,0.159305309,1.964850169,-0.75456612,0.494559209,-2.137976469
4581645817,1.777777778,0.159305309,1.964850169,-0.829604549,-0.55529455,1.12837647
4821948220,2.379487179,0.159305309,1.964850169,-0.263459587,-0.55529455,-0.5048
4698046981,1.426666667,0.159305309,1.964850169,-0.729244502,0.542279834,-0.5048
4688946890,1.518,0.159305309,1.964850169,-0.775086899,1.067206714,-1.321388234
4861846844,1.557142857,0.159305309,1.964850169,-1.529454455,0.160514831,0.311788235
6201362014,1.904166667,1.309722089,0.458215034,0.26948507,-0.164607832,1.165280576
6267960100,1.757692308,1.964850169,0.775111227,-0.806794882,1.12537607,-0.031863141
6267960100,1.757692308,1.964850169,0.775111227,-1.173048494,1.12537607,-0.031863141
4952949530,2.098611111,1.964850169,0.775111227,0.023246494,-0.009809764,-0.031863141
4979749356,1.5175,1.984441342,0.236200568,0.457664912,-0.706401071,-1.229006857
6083160832,1.868,1.964850169,0.775111227,0.15169609,0.712581222,-0.031863141
1.02E+11,1.849333333,1.309722089,0.458215034,-0.702200578,0.86737929,-0.031863141
6030860309,2.3375,1.964850169,0.775111227,0.060758479,0.893178968,-1.229006857
4922449225,2.076666667,1.309722089,0.458215034,-0.160652612,-0.216207188,-0.031863141
6078760788,1.85,1.984441342,0.236200568,0.776527087,-0.732200749,-1.229006857
4768547686,1.58115942,1.309722089,0.458215034,-1.193927897,-0.267806544,-0.031863141
4768547686,1.58115942,1.309722089,0.458215034,-0.301645029,-0.267806544,-0.031863141
6087860879,1.491025641,1.964850169,0.775111227,-0.759530002,0.351385729,-0.031863141
1.02E+11,1.798333333,1.309722089,0.458215034,0.576352762,1.12537607,-0.031863141
1.02E+11,1.798333333,1.309722089,0.458215034,0.055749817,1.12537607,-0.031863141
1.02E+11,1.798333333,1.309722089,0.458215034,-0.351610009,1.12537607,-0.031863141
6250062499,1.437333333,1.964850169,0.775111227,2.131836925,-0.06140912,-0.031863141
4716347164,1.851851852,1.964850169,0.775111227,-0.685009773,0.402985085,-0.031863141
4716347164,1.851851852,1.964850169,0.775111227,-0.381072992,0.402985085,-0.031863141
6284660877,1.701785714,1.964850169,0.775111227,-0.596719807,1.022177358,-1.229006857
6284660877,1.701785714,1.964850169,0.775111227,-0.654092182,1.022177358,-1.229006857
6284660877,1.701785714,1.964850169,0.775111227,-0.837530315,1.022177358,-1.229006857
6086860869,1.416666667,1.984441342,0.236200568,-0.136662157,-1.093396241,-0.031863141
6071360732,1.272115385,1.984441342,0.236200568,0.721268948,-1.041796885,1.165280576
4679048426,1.918181818,1.309722089,0.458215034,-0.739755988,-0.371005256,-1.229006857
10241264899,1.637,1.373943792,0.650819891,1.769118053,-0.835399461,1.165280576
6091660917,1.854545455,1.984441342,0.236200568,0.433414119,-0.06140912,-2.426150574
6091660917,1.854545455,1.984441342,0.236200568,-0.382355464,-0.06140912,-2.426150574
6181962104,1.662666667,1.984441342,0.236200568,0.416395385,1.744568344,-0.031863141
6181962104,1.662666667,1.984441342,0.236200568,0.818204878,1.744568344,-0.031863141
6108361084,1.19375,1.984441342,0.236200568,1.150874557,-1.815787227,1.165280576
4890748908,1.859615385,1.984441342,0.236200568,1.475813927,-1.299793666,1.165280576
4665746658,1.953623188,1.373943792,0.650819891,1.455213821,-0.990197529,-0.031863141
4771347712,1.171,1.373943792,0.650819891,2.601611856,-1.041796885,1.165280576
4956749568,1.29,0.458215034,1.016,-0.378365767,0.606415003,1.060017724
4956749568,1.29,0.458215034,1.016,0.516582534,0.606415003,1.060017724
6085360854,1.479166667,0.458215034,1.016,0.649367239,1.222000743,-1.388281277
6085360854,1.479166667,0.458215034,1.016,-0.257449249,1.222000743,-1.388281277
4682947044,1.104,0.775111227,1.746,-0.508903775,1.170701931,2.284167225
6216562166,1.297619048,0.458215034,1.016,-0.345451634,0.349920944,-0.164131777
6216562166,1.297619048,0.458215034,1.016,-0.024889979,0.349920944,-0.164131777
6272662727,1.333333333,0.458215034,1.016,-0.842117167,1.016805496,-0.164131777
4768547686,1.738095238,0.458215034,1.016,-0.666850748,1.016805496,-1.388281277
4768547686,1.738095238,0.458215034,1.016,0.563183784,1.016805496,-1.388281277
4935949360,1.063492063,0.236200568,0.90047,0.368984629,0.042128074,-0.164131777
4935949360,1.063492063,0.236200568,0.90047,0.190214427,0.042128074,-0.164131777
4998749988,2.166666667,0.775111227,1.746,-0.594895415,-0.214365984,-1.388281277
6212462125,1.68115942,0.236200568,0.90047,1.009484715,0.81161025,-0.164131777
