photo_id,sort_ID,Aquarium_ID,Diet,Ratio,Pike,treatment_nr,number,Perch_ID,Weight,Length,Intestine,Sex
pred_growth_final_090,33,43,Chironomids,15_high,n,5,73,43.1,8.3,95,62,M
pred_growth_final_091,33,43,Chironomids,15_high,n,5,74,43.2,6,88,51,M
pred_growth_final_093,34,46,Chironomids,10_medium,n,3,75,46.1,7.9,97,54,F
pred_growth_final_094,34,46,Chironomids,10_medium,n,3,76,46.2,7.7,97,53,M
pred_growth_final_095,34,46,Chironomids,10_medium,n,3,77,46.3,5.4,86,44,M
pred_growth_final_096,35,47,Chironomids,10_medium,n,3,78,47.1,5.5,87,52,F
pred_growth_final_097,35,47,Chironomids,10_medium,n,3,79,47.2,5.7,86,50,M
pred_growth_final_098,36,48,Chironomids,05_low,n,1,80,48.1,4.7,89,49,NA
pred_growth_final_099,36,48,Chironomids,05_low,n,1,81,48.2,4.5,89,33,F
pred_growth_final_100,36,48,Chironomids,05_low,n,1,82,48.3,4,84,42,M
