ID	Treatment	Days_pc	FCM	Playback
F4401	Chickadee	0.275577768924974	493.1730181	Pre
F4401	Chickadee	0.841161462216019	367.784018	Pre
F4401	Chickadee	0.841161462216019	367.784018	Pre
F4401	Chickadee	0.841161462216019	367.784018	Pre
F4401	Chickadee	1.05325534720016	650.1785714	Pre
F4401	Chickadee	1.05325534720016	650.1785714	Pre
F4401	Chickadee	1.05325534720016	650.1785714	Pre
F4609	Rattle	-2.19885088922335	509.3654466	Pre
F5166	Chickadee	-0.14861000104331	1107.39757	Pre
F5166	Chickadee	0.134181845602212	802.5649595	Pre
F5212	Chickadee	1.05325534720016	1074.005877	Pre
F5212	Chickadee	1.54814107882983	1411.423382	Pre
F5336	Chickadee	0.841161462216019	652.5359911	Pre
F5336	Chickadee	1.19465127052292	4059.334424	Pre
F5580	Rattle	-0.14861000104331	9245.436186	Pre
F5580	Rattle	0.204879807263593	1778.553096	Pre
F5590	Rattle	-0.714193694334355	654.4028414	Pre
F5590	Rattle	-0.0779120393819297	644.3313891	Pre
F5590	Rattle	0.275577768924974	126.379604	Pre
F5660	Rattle	-1.84536108091645	188.6028829	Pre
F5660	Rattle	-1.2797773876254	530.8550582	Pre
F5660	Rattle	-0.855589617657117	1089.511195	Pre
F5681	Chickadee	-0.926287579318497	342.0392464	Pre
F5685	Chickadee	-0.360703886027452	2149.119098	Pre
F5691	Chickadee	-0.00721407772054904	392.4142904	Pre
F5691	Chickadee	1.90163088713673	2120.335789	Pre
F5727	Rattle	-1.84536108091645	142.4304232	Pre
F5729	Rattle	0.346275730586354	402.2107417	Pre
F5729	Rattle	0.841161462216019	281.9906038	Pre
F5746	Rattle	-0.219307962704691	1125.759544	Pre
F5771	Chickadee	-0.0779120393819297	1221.993501	Pre
F5771	Chickadee	0.699765538893257	880.149321	Pre
F5771	Chickadee	0.98255738553878	1308.29636	Pre
F5886	Chickadee	-1.49187127260954	249.9809332	Pre
F5886	Chickadee	-0.784891655995736	752.1832037	Pre
F5886	Chickadee	-0.290005924366072	1193.232539	Pre
F5886	Chickadee	0.204879807263593	1585.287109	Pre
F5952	Rattle	0.346275730586354	173.3350665	Pre
F6028	Rattle	1.90163088713673	471.1274371	Pre
F6032	Rattle	1.54814107882983	2482.506553	Pre
F6032	Rattle	1.54814107882983	2482.506553	Pre
4261	Rattle	-0.610094576	1395.31108	Post
4261	Rattle	0.42075488	717.9949338	Post
4261	Rattle	1.451604337	534.033141	Post
4261	Rattle	-0.610094576	1395.31108	Post
4261	Rattle	0.42075488	717.9949338	Post
4261	Rattle	1.451604337	534.033141	Post
4267	Rattle	-0.953711062	1579.15757	Post
4267	Rattle	0.077138395	1011.326651	Post
4267	Rattle	1.795220823	1704.096035	Post
4267	Rattle	-0.953711062	1579.15757	Post
4267	Rattle	0.077138395	1011.326651	Post
4267	Rattle	1.795220823	1704.096035	Post
D9648	Chickadee	0.077138395	1570.708666	Post
D9648	Chickadee	0.42075488	1938.402552	Post
D9648	Chickadee	0.077138395	1570.708666	Post
D9648	Chickadee	0.42075488	1938.402552	Post
D9987	Chickadee	-0.953711062	1279.056669	Post
D9987	Chickadee	-0.266478091	2029.079994	Post
D9987	Chickadee	-0.953711062	1279.056669	Post
D9987	Chickadee	-0.266478091	2029.079994	Post
D9987	Chickadee	-0.953711062	1279.056669	Post
D9987	Chickadee	-0.266478091	2029.079994	Post
D9987	Chickadee	-0.953711062	1279.056669	Post
D9987	Chickadee	-0.266478091	2029.079994	Post
F0308	Chickadee	-0.953711062	1230.988248	Post
F0308	Chickadee	-0.266478091	2048.81143	Post
F0308	Chickadee	0.764371366	1020.147297	Post
F0308	Chickadee	-0.953711062	1230.988248	Post
F0308	Chickadee	-0.266478091	2048.81143	Post
F0308	Chickadee	0.764371366	1020.147297	Post
F0687	Rattle	-0.266478091	4984.480758	Post
F0687	Rattle	0.42075488	2155.504923	Post
F0687	Rattle	-0.266478091	4984.480758	Post
F0687	Rattle	0.42075488	2155.504923	Post
F1557	Rattle	-0.953711062	1975.851107	Post
F1557	Rattle	-0.953711062	1975.851107	Post
F1669	Rattle	-0.610094576	1096.781492	Post
F1669	Rattle	-0.610094576	1096.781492	Post
F2815	Chickadee	0.42075488	481.9568079	Post
F2815	Chickadee	0.42075488	481.9568079	Post
F3005	Rattle	-0.266478091	4889.470944	Post
F3005	Rattle	-0.266478091	4889.470944	Post
F3007	Rattle	-0.610094576	1418.43515	Post
F3007	Rattle	0.764371366	234.8217785	Post
F3007	Rattle	-0.610094576	1418.43515	Post
F3007	Rattle	0.764371366	234.8217785	Post
F3007	Rattle	-0.610094576	1418.43515	Post
F3007	Rattle	0.764371366	234.8217785	Post
F3007	Rattle	-0.610094576	1418.43515	Post
F3007	Rattle	0.764371366	234.8217785	Post
F3007	Rattle	-0.610094576	1418.43515	Post
F3007	Rattle	0.764371366	234.8217785	Post
F3052	Rattle	0.077138395	1572.555583	Post
F3081	Rattle	0.42075488	464.9982771	Post
F3081	Rattle	1.451604337	1908.88126	Post
F3081	Rattle	0.42075488	464.9982771	Post
F3081	Rattle	1.451604337	1908.88126	Post
F3081	Rattle	0.42075488	464.9982771	Post
F3081	Rattle	1.451604337	1908.88126	Post
F3984	Chickadee	-1.297327548	1723.08386	Post
F4098	Rattle	1.795220823	1121.673275	Post
F4098	Rattle	1.795220823	1121.673275	Post
F4098	Rattle	1.795220823	1121.673275	Post
F4361	Chickadee	-1.297327548	667.0742477	Post
F4361	Chickadee	1.107987851	1374.011852	Post
F4361	Chickadee	-1.297327548	667.0742477	Post
F4361	Chickadee	1.107987851	1374.011852	Post
F4361	Chickadee	-1.297327548	667.0742477	Post
F4361	Chickadee	1.107987851	1374.011852	Post
F4361	Chickadee	-1.297327548	667.0742477	Post
F4361	Chickadee	1.107987851	1374.011852	Post
F4401	Chickadee	-1.297327548	4269.425733	Post
F4401	Chickadee	0.077138395	1709.785547	Post
F4401	Chickadee	1.795220823	459.3998253	Post
F4401	Chickadee	-1.297327548	4269.425733	Post
F4401	Chickadee	0.077138395	1709.785547	Post
F4401	Chickadee	1.795220823	459.3998253	Post
F4401	Chickadee	-1.297327548	4269.425733	Post
F4401	Chickadee	0.077138395	1709.785547	Post
F4401	Chickadee	1.795220823	459.3998253	Post
F4401	Chickadee	-1.297327548	4269.425733	Post
F4401	Chickadee	0.077138395	1709.785547	Post
F4401	Chickadee	1.795220823	459.3998253	Post
F4401	Chickadee	-1.297327548	4269.425733	Post
F4401	Chickadee	0.077138395	1709.785547	Post
F4401	Chickadee	1.795220823	459.3998253	Post
F4609	Rattle	0.764371366	1249.788574	Post
F5166	Chickadee	-1.297327548	847.0611632	Post
F5166	Chickadee	-1.297327548	847.0611632	Post
F5336	Chickadee	-0.610094576	3032.355545	Post
F5336	Chickadee	-0.610094576	3032.355545	Post
F5660	Rattle	-1.297327548	1255.012026	Post
F5660	Rattle	-1.297327548	1255.012026	Post
F5660	Rattle	-1.297327548	1255.012026	Post
F5771	Chickadee	-0.266478091	1173.273058	Post
F5771	Chickadee	-0.266478091	1173.273058	Post
F5771	Chickadee	-0.266478091	1173.273058	Post
F6028	Rattle	1.795220823	943.1040125	Post
F6032	Rattle	-1.297327548	1984.316443	Post
F6032	Rattle	0.077138395	732.6185073	Post
102465	Control	-0.266478091	756.4958043	Post
48428	Control	1.795220823	271.1981314	Post
60730	Control	-0.953711062	369.1053597	Post
63409	Control	0.077138395	741.6443877	Post
D6403	Rattle	-0.610094576	1956.852699	Post
F0563	Control	-1.297327548	1232.869167	Post
F3003	Rattle	-0.953711062	4333.482734	Post
F3085	Rattle	1.107987851	1258.992365	Post
F3782	Rattle	-0.953711062	970.0174307	Post
F5737	Rattle	1.451604337	1405.053763	Post
