year,site,id,substrate,treatment,NEP,CR,CR.corr,CR.corr.no0,GPP,GPP.corr,GPP.corr.no0,Chl,Chl.corr,Chl.corr.no0
2013,Site 1,5,Glass,Ctl,-0.359697854,-0.783279053,0.783289053,0.783289053,0.4235812,0.4235912,0.4235912,0.590303719,0.590313719,0.590313719
2013,Site 1,2,Glass,Ctl,-0.119899285,-0.86572948,0.86573948,0.86573948,0.745830196,0.745840196,0.745840196,0.672380513,0.672390513,0.672390513
2013,Site 1,3,Glass,Ctl,-0.399664282,-0.86572948,0.86573948,0.86573948,0.466065198,0.466075198,0.466075198,0.796191269,0.796201269,0.796201269
2013,Site 1,6,Glass,Ctl,-0.199832141,-0.700828627,0.700838627,0.700838627,0.500996486,0.501006486,0.501006486,0.885919289,0.885929289,0.885929289
2013,Site 1,7,Glass,H,-0.959194277,-1.071855547,1.071865547,1.071865547,0.11266127,0.11267127,0.11267127,0.376996798,0.377006798,0.377006798
2013,Site 1,10,Glass,H,-0.639462851,-1.154305974,1.154315974,1.154315974,0.514843122,0.514853122,0.514853122,0.767595776,0.767605776,0.767605776
2013,Site 1,8,Glass,H,-1.358858559,-1.277981614,1.277991614,1.277991614,-0.080876945,0,0.00001,0.904545002,0.904555002,0.904555002
2013,Site 1,9,Glass,H,-0.839294992,-1.319206827,1.319216827,1.319216827,0.479911835,0.479921835,0.479921835,1.013903442,1.013913442,1.013913442
2013,Site 1,22,Glass,HP,0.479597138,-0.329801707,0.329811707,0.329811707,0.809398845,0.809408845,0.809408845,0.288737195,0.288747195,0.288747195
2013,Site 1,20,Glass,HP,1.159026418,0.206126067,0,0.00001,0.952900351,0.952910351,0.952910351,0.340827363,0.340837363,0.340837363
2013,Site 1,23,Glass,HP,0.159865713,-0.082450427,0.082460427,0.082460427,0.242316139,0.242326139,0.242326139,0.347010173,0.347020173,0.347020173
2013,Site 1,19,Glass,HP,1.11905999,-0.329801707,0.329811707,0.329811707,1.448861696,1.448871696,1.448871696,0.613489254,0.613499254,0.613499254
2013,Site 1,21,Glass,HP,1.11905999,0,0,0.00001,1.11905999,1.11906999,1.11906999,0.907868262,0.907878262,0.907878262
2013,Site 1,12,Glass,N,0.159865713,0.12367564,0,0.00001,0.036190073,0.036200073,0.036200073,0.203878137,0.203888137,0.203888137
2013,Site 1,14,Glass,N,0.199832141,0.329801707,0,0.00001,-0.129969566,0,0.00001,0.408065415,0.408075415,0.408075415
2013,Site 1,13,Glass,N,0.43963071,-0.164900853,0.164910853,0.164910853,0.604531564,0.604541564,0.604541564,0.712955199,0.712965199,0.712965199
2013,Site 1,11,Glass,N,0.119899285,-0.288576493,0.288586493,0.288586493,0.408475778,0.408485778,0.408485778,0.820304225,0.820314225,0.820314225
2013,Site 1,24,Glass,NP,0.559529995,0,0,0.00001,0.559529995,0.559539995,0.559539995,0.286341356,0.286351356,0.286351356
2013,Site 1,25,Glass,NP,0.679429279,0,0,0.00001,0.679429279,0.679439279,0.679439279,0.380242773,0.380252773,0.380252773
2013,Site 1,26,Glass,NP,0.87926142,0,0,0.00001,0.87926142,0.87927142,0.87927142,0.485350531,0.485360531,0.485360531
2013,Site 1,17,Glass,P,0.399664282,0.082450427,0,0.00001,0.317213855,0.317223855,0.317223855,0.256741157,0.256751157,0.256751157
2013,Site 1,15,Glass,P,0.839294992,0.24735128,0,0.00001,0.591943712,0.591953712,0.591953712,0.333098852,0.333108852,0.333108852
2013,Site 1,16,Glass,P,1.079093561,0.082450427,0,0.00001,0.996643135,0.996653135,0.996653135,0.429705247,0.429715247,0.429715247
2013,Site 1,18,Glass,P,1.278925702,0.12367564,0,0.00001,1.155250062,1.155260062,1.155260062,0.752834319,0.752844319,0.752844319
2011,Site 3,33,Glass,Ctl,-9.729493892,-9.751308901,9.751308901,9.751318901,0.021815009,0.021815009,0.021825009,0.062214519,0.062214519,0.062224519
2011,Site 3,28,Glass,Ctl,-6.631762653,-6.828097731,6.828097731,6.828107731,0.196335079,0.196335079,0.196345079,0.106808031,0.106808031,0.106818031
2011,Site 3,22,Glass,Ctl,-7.504363002,-6.522687609,6.522687609,6.522697609,-0.981675393,0,0.00001,0.191667089,0.191667089,0.191677089
2011,Site 3,20,Glass,Ctl,-8.158813264,-5.47556719,5.47556719,5.47557719,-2.683246073,0,0.00001,0.296929417,0.296929417,0.296939417
2011,Site 3,5,Glass,Ctl,-8.595113438,-5.431937173,5.431937173,5.431947173,-3.163176265,0,0.00001,0.282245245,0.282245245,0.282255245
2011,Site 3,31,Glass,H,-10.07853403,-8.878708551,8.878708551,8.878718551,-1.19982548,0,0.00001,0.049076049,0.049076049,0.049086049
2011,Site 3,60,Glass,H,-8.90052356,-7.046247818,7.046247818,7.046257818,-1.854275742,0,0.00001,0.161139468,0.161139468,0.161149468
2011,Site 3,23,Glass,H,-5.977312391,-6.435427574,6.435427574,6.435437574,0.458115183,0.458115183,0.458125183,0.243525402,0.243525402,0.243535402
2011,Site 3,35,Glass,H,-9.467713787,-5.257417103,5.257417103,5.257427103,-4.210296684,0,0.00001,0.142359184,0.142359184,0.142369184
2011,Site 3,8,Glass,H,-5.104712042,-4.646596859,4.646596859,4.646606859,-0.458115183,0,0.00001,0.331244009,0.331244009,0.331254009
2011,Site 3,5,Glass,HP,-2.137870855,-7.438917976,7.438917976,7.438927976,5.30104712,5.30104712,5.30105712,0.072261584,0.072261584,0.072271584
2011,Site 3,39,Glass,HP,-2.486910995,-6.740837696,6.740837696,6.740847696,4.253926702,4.253926702,4.253936702,0.121183063,0.121183063,0.121193063
2011,Site 3,44,Glass,HP,-5.715532286,-6.042757417,6.042757417,6.042767417,0.327225131,0.327225131,0.327235131,0.140457971,0.140457971,0.140467971
2011,Site 3,26,Glass,HP,-6.719022688,-5.431937173,5.431937173,5.431947173,-1.287085515,0,0.00001,0.207896963,0.207896963,0.207906963
2011,Site 3,52,Glass,HP,-1.745200698,-2.377835951,2.377835951,2.377845951,0.632635253,0.632635253,0.632645253,0.070352641,0.070352641,0.070362641
2011,Site 3,36,Glass,N,-6.064572426,-6.828097731,6.828097731,6.828107731,0.763525305,0.763525305,0.763535305,0.187957403,0.187957403,0.187967403
2011,Site 3,59,Glass,N,-7.635253054,-5.562827225,5.562827225,5.562837225,-2.072425829,0,0.00001,0.170722822,0.170722822,0.170732822
2011,Site 3,55,Glass,N,-3.752181501,-4.559336824,4.559336824,4.559346824,0.807155323,0.807155323,0.807165323,0.160212046,0.160212046,0.160222046
2011,Site 3,38,Glass,N,-4.188481675,-4.035776614,4.035776614,4.035786614,-0.152705061,0,0.00001,0.149005704,0.149005704,0.149015704
2011,Site 3,50,Glass,N,-6.84991274,-2.290575916,2.290575916,2.290585916,-4.559336824,0,0.00001,0.094079172,0.094079172,0.094089172
2011,Site 3,32,Glass,NP,-2.39965096,-5.213787086,5.213787086,5.213797086,2.814136126,2.814136126,2.814146126,0.193367361,0.193367361,0.193377361
2011,Site 3,34,Glass,NP,-2.05061082,-3.817626527,3.817626527,3.817636527,1.767015707,1.767015707,1.767025707,0,0,0.00001
2011,Site 3,27,Glass,NP,-3.359511344,-3.381326353,3.381326353,3.381336353,0.021815009,0.021815009,0.021825009,0.380938339,0.380938339,0.380948339
2011,Site 3,25,Glass,NP,-2.05061082,-2.508726003,2.508726003,2.508736003,0.458115183,0.458115183,0.458125183,0.261223693,0.261223693,0.261233693
2011,Site 3,4,Glass,NP,-1.570680628,-1.854275742,1.854275742,1.854285742,0.283595113,0.283595113,0.283605113,0.15302453,0.15302453,0.15303453
2011,Site 3,16,Glass,P,-2.835951134,-5.9991274,5.9991274,5.9991374,3.163176265,3.163176265,3.163186265,0.287268778,0.287268778,0.287278778
2011,Site 3,54,Glass,P,-8.72600349,-4.384816754,4.384816754,4.384826754,-4.341186736,0,0.00001,0.194603923,0.194603923,0.194613923
2011,Site 3,51,Glass,P,-6.457242583,-3.904886562,3.904886562,3.904896562,-2.552356021,0,0.00001,0.132853115,0.132853115,0.132863115
2011,Site 3,9,Glass,P,-2.617801047,-3.59947644,3.59947644,3.59948644,0.981675393,0.981675393,0.981685393,0.145991585,0.145991585,0.146001585
2013,Site 3,26,Glass,C,-7.035340314,-4.861630516,4.861640516,4.861640516,-2.173709798,0,0.00001,-0.05000347,0,0.00001
2013,Site 3,24,Glass,C,-7.771596859,-5.609573672,5.609583672,5.609583672,-2.162023186,0,0.00001,0.119019079,0.119029079,0.119029079
2013,Site 3,23,Glass,C,-8.957787958,-6.066650046,6.066660046,6.066660046,-2.891137912,0,0.00001,0.173118661,0.173128661,0.173128661
2013,Site 3,25,Glass,C,-8.180628272,-5.692678468,5.692688468,5.692688468,-2.487949805,0,0.00001,0.182392875,0.182402875,0.182402875
2013,Site 3,22,Glass,C,-4.785667539,-4.903182914,4.903192914,4.903192914,0.117515374,0.117525374,0.117525374,0.200941303,0.200951303,0.200951303
2013,Site 3,2,Glass,Ctl,-2.863219895,-2.825563035,2.825573035,2.825573035,-0.03765686,0,0.00001,0.044825368,0.044835368,0.044835368
2013,Site 3,5,Glass,Ctl,-5.11289267,-2.119172276,2.119182276,2.119182276,-2.993720394,0,0.00001,0.060436961,0.060446961,0.060446961
2013,Site 3,6,Glass,Ctl,-4.908376963,-3.157982216,3.157992216,3.157992216,-1.750394748,0,0.00001,0.073575431,0.073585431,0.073585431
2013,Site 3,4,Glass,Ctl,-2.822316754,-1.578991108,1.579001108,1.579001108,-1.243325646,0,0.00001,0.092587569,0.092597569,0.092597569
2013,Site 3,3,Glass,Ctl,-0.368128272,-2.451591457,2.451601457,2.451601457,2.083463185,2.083473185,2.083473185,0.546405773,0.546415773,0.546415773
2013,Site 3,9,Glass,H,-5.153795812,-3.407296601,3.407306601,3.407306601,-1.746499211,0,0.00001,0.037251426,0.037261426,0.037261426
2013,Site 3,8,Glass,H,-4.294829843,-2.57624865,2.57625865,2.57625865,-1.718581193,0,0.00001,0.076512265,0.076522265,0.076522265
2013,Site 3,11,Glass,H,-5.808246073,-3.490401396,3.490411396,3.490411396,-2.317844677,0,0.00001,0.076512265,0.076522265,0.076522265
