no.;ctmin;dev.temp;ad.temp;dev.treat;ad.treat;observer
1;4.53;19;23;const;const;jesper
2;4.59;19;23;const;const;paul
3;5.01;19;23;const;const;jesper
4;4.94;19;23;const;const;jesper
5;4.8;19;23;const;const;paul
6;4.96;19;23;const;const;paul
7;5.15;19;23;const;const;jesper
8;5.03;19;23;const;const;jesper
9;4.98;19;23;const;const;paul
10;4.72;19;23;const;const;jesper
11;4.9;19;23;const;const;paul
12;4.89;19;23;const;const;jesper
13;5.36;19;23;const;const;paul
14;5.38;19;23;const;const;paul
15;5.05;19;23;const;const;jesper
16;4.74;19;23;fluct;const;paul
17;4.65;19;23;fluct;const;paul
18;5.54;19;23;fluct;const;jesper
19;4.86;19;23;fluct;const;paul
20;5.04;19;23;fluct;const;paul
21;4.95;19;23;fluct;const;jesper
22;5.13;19;23;fluct;const;jesper
23;5.22;19;23;fluct;const;paul
24;5.25;19;23;fluct;const;jesper
25;5.1;19;23;fluct;const;jesper
26;5.14;19;23;fluct;const;paul
27;4.76;19;23;fluct;const;paul
28;5.24;19;23;fluct;const;jesper
29;5.43;19;23;fluct;const;jesper
30;4.89;19;23;fluct;const;paul
31;5.31;19;23;const;fluct;paul
32;4.85;19;23;const;fluct;paul
33;5.25;19;23;const;fluct;paul
35;4.67;19;23;const;fluct;paul
35;5.31;19;23;const;fluct;jesper
36;5.1;19;23;const;fluct;paul
37;5.13;19;23;const;fluct;paul
38;5.9;19;23;const;fluct;jesper
40;5.64;19;23;const;fluct;jesper
41;5.02;19;23;const;fluct;paul
42;5.41;19;23;const;fluct;jesper
43;4.56;19;23;const;fluct;jesper
44;5.07;19;23;const;fluct;jesper
45;4.85;19;23;const;fluct;jesper
46;4.39;19;23;fluct;fluct;jesper
47;5.59;19;23;fluct;fluct;jesper
48;5.2;19;23;fluct;fluct;paul
49;5.12;19;23;fluct;fluct;paul
50;5.18;19;23;fluct;fluct;paul
51;4.85;19;23;fluct;fluct;paul
52;4.98;19;23;fluct;fluct;jesper
53;5.2;19;23;fluct;fluct;jesper
54;5.15;19;23;fluct;fluct;paul
55;4.93;19;23;fluct;fluct;jesper
56;5.94;19;23;fluct;fluct;jesper
57;5.5;19;23;fluct;fluct;jesper
58;5;19;23;fluct;fluct;paul
59;5.05;19;23;fluct;fluct;paul
60;5.88;19;23;fluct;fluct;paul
61;3.25;19;19;const;const;jesper
62;2.86;19;19;const;const;paul
63;3.74;19;19;const;const;jesper
64;3.56;19;19;const;const;jesper
65;4.28;19;19;const;const;jesper
66;3.52;19;19;const;const;paul
67;2.8;19;19;const;const;paul
68;3.22;19;19;const;const;paul
69;3.84;19;19;const;const;jesper
70;3.2;19;19;const;const;paul
71;3.65;19;19;const;const;jesper
72;3.74;19;19;const;const;paul
73;3.78;19;19;const;const;paul
74;3.92;19;19;const;const;jesper
75;3.8;19;19;const;const;jesper
76;5.35;19;19;fluct;fluct;jesper
77;4.24;19;19;fluct;fluct;paul
78;4.94;19;19;fluct;fluct;paul
79;4.41;19;19;fluct;fluct;jesper
80;4.65;19;19;fluct;fluct;paul
81;3.48;19;19;fluct;fluct;paul
82;4.6;19;19;fluct;fluct;jesper
83;3.62;19;19;fluct;fluct;jesper
84;5.18;19;19;fluct;fluct;jesper
85;4.52;19;19;fluct;fluct;jesper
86;5.38;19;19;fluct;fluct;jesper
87;4.71;19;19;fluct;fluct;paul
88;3.94;19;19;fluct;fluct;paul
89;4.11;19;19;fluct;fluct;paul
90;4.28;19;19;fluct;fluct;paul
