no.,ctmin,dev.temp,ad.temp,dev.treat,ad.treat,observer
2,5.52,23,23,const,const,paul
3,5.33,23,23,const,const,jesper
4,5.48,23,23,const,const,jesper
5,5.38,23,23,const,const,jesper
6,5.45,23,23,const,const,jesper
7,5.37,23,23,const,const,jesper
8,5.93,23,23,const,const,paul
9,5.87,23,23,const,const,paul
10,5.56,23,23,const,const,paul
11,5.19,23,23,fluct,const,jesper
13,5.68,23,23,fluct,const,jesper
14,5.57,23,23,fluct,const,jesper
15,4.82,23,23,fluct,const,jesper
16,5.52,23,23,fluct,const,paul
17,6.22,23,23,fluct,const,paul
18,5.28,23,23,fluct,const,paul
19,5.8,23,23,fluct,const,paul
20,5.42,23,23,fluct,const,paul
21,5.3,23,23,fluct,fluct,paul
22,5.56,23,23,fluct,fluct,paul
23,5.33,23,23,fluct,fluct,jesper
24,5.78,23,23,fluct,fluct,paul
25,5.63,23,23,fluct,fluct,jesper
26,5.3,23,23,fluct,fluct,jesper
27,5.6,23,23,fluct,fluct,jesper
28,5.38,23,23,fluct,fluct,paul
29,5.79,23,23,fluct,fluct,jesper
30,5.82,23,23,fluct,fluct,paul
31,5.55,23,23,const,fluct,jesper
32,5.35,23,23,const,fluct,paul
33,5.72,23,23,const,fluct,jesper
34,6.2,23,23,const,fluct,paul
35,5.78,23,23,const,fluct,jesper
36,5.6,23,23,const,fluct,paul
37,5.7,23,23,const,fluct,jesper
38,5.74,23,23,const,fluct,paul
39,5.7,23,23,const,fluct,paul
40,5.52,23,23,const,fluct,jesper
