no.;ctmin;dev.temp;ad.temp;dev.treat;ad.treat;observer
21;5.08;23;23;const;const;magnus
22;4.68;23;23;const;const;magnus
23;5.89;23;23;const;const;paul
24;5.17;23;23;const;const;paul
25;5.8;23;23;const;const;paul
26;5.63;23;23;const;const;magnus
27;5.42;23;23;const;const;magnus
28;5.13;23;23;const;const;magnus
29;5.2;23;23;const;const;paul
30;5.4;23;23;const;const;paul
31;4.33;23;19;const;const;magnus
32;4.02;23;19;const;const;paul
33;4.17;23;19;const;const;paul
34;3.85;23;19;const;const;paul
35;3.87;23;19;const;const;paul
36;4.4;23;19;const;const;magnus
37;4.22;23;19;const;const;paul
38;3.98;23;19;const;const;magnus
39;4.38;23;19;const;const;magnus
40;3.89;23;19;const;const;magnus
41;3.98;23;19;fluct;const;magnus
42;4.52;23;19;fluct;const;paul
43;4.89;23;19;fluct;const;magnus
44;4.93;23;19;fluct;const;magnus
45;4.3;23;19;fluct;const;paul
46;4.25;23;19;fluct;const;paul
47;4.3;23;19;fluct;const;magnus
48;4.05;23;19;fluct;const;magnus
49;4.59;23;19;fluct;const;paul
50;4.39;23;19;fluct;const;paul
51;5.21;23;19;fluct;fluct;magnus
52;5.46;23;19;fluct;fluct;paul
53;4.34;23;19;fluct;fluct;paul
54;4.77;23;19;fluct;fluct;paul
55;4.94;23;19;fluct;fluct;paul
56;5.17;23;19;fluct;fluct;magnus
57;4.45;23;19;fluct;fluct;paul
58;4.72;23;19;fluct;fluct;magnus
59;4.18;23;19;fluct;fluct;magnus
60;4.99;23;19;fluct;fluct;magnus
61;4.53;23;19;const;fluct;magnus
62;4.13;23;19;const;fluct;paul
63;5.02;23;19;const;fluct;paul
64;4.82;23;19;const;fluct;paul
65;3.91;23;19;const;fluct;paul
66;4.69;23;19;const;fluct;paul
67;4.8;23;19;const;fluct;magnus
68;4.94;23;19;const;fluct;magnus
69;4.23;23;19;const;fluct;magnus
70;4.13;23;19;const;fluct;magnus
71;6;23;23;fluct;fluct;magnus
72;5.12;23;23;fluct;fluct;paul
73;4.07;23;23;fluct;fluct;magnus
74;5.88;23;23;fluct;fluct;paul
75;5.96;23;23;fluct;fluct;paul
76;5.94;23;23;fluct;fluct;magnus
77;5.22;23;23;fluct;fluct;paul
78;5.58;23;23;fluct;fluct;magnus
79;5.79;23;23;fluct;fluct;paul
80;5.28;23;23;fluct;fluct;magnus
