no.,ctmin,dev.temp,ad.temp,dev.treat,ad.treat,observer
1,3.82,19,19,const,fluct,paul
2,3.31,19,19,const,fluct,tommaso
3,3.61,19,19,const,fluct,paul
4,4.35,19,19,const,fluct,paul
5,3.34,19,19,const,fluct,tommaso
6,3.8,19,19,const,fluct,paul
7,3.99,19,19,const,fluct,paul
8,4.45,19,19,const,fluct,tommaso
9,4.12,19,19,const,fluct,tommaso
10,3.64,19,19,const,fluct,paul
11,3.67,19,19,const,fluct,tommaso
12,4.13,19,19,const,fluct,paul
13,4.17,19,19,const,fluct,paul
14,3.4,19,19,const,fluct,tommaso
15,3.68,19,19,const,fluct,tommaso
16,3.89,19,19,const,fluct,tommaso
17,3.7,19,19,const,fluct,paul
18,3.51,19,19,const,fluct,tommaso
19,3.74,19,19,const,fluct,paul
20,3.48,19,19,const,fluct,tommaso
21,4.15,19,19,fluct,const,paul
22,3.72,19,19,fluct,const,paul
23,3.92,19,19,fluct,const,paul
26,4.1,19,19,fluct,const,paul
28,3.88,19,19,fluct,const,paul
29,5.48,19,19,fluct,const,tommaso
30,3.78,19,19,fluct,const,paul
31,3.49,19,19,fluct,const,tommaso
33,3.57,19,19,fluct,const,tommaso
34,4.03,19,19,fluct,const,paul
35,3.99,19,19,fluct,const,paul
36,3.79,19,19,fluct,const,tommaso
37,3.74,19,19,fluct,const,tommaso
38,3.89,19,19,fluct,const,tommaso
39,4.28,19,19,fluct,const,tommaso
40,4.12,19,19,fluct,const,tommaso
41,3.43,19,19,const,const,tommaso
42,3.97,19,19,const,const,paul
43,3.41,19,19,const,const,tommaso
44,3.7,19,19,const,const,paul
46,3.14,19,19,const,const,tommaso
47,3.42,19,19,const,const,tommaso
48,3.25,19,19,const,const,paul
49,4.02,19,19,const,const,tommaso
50,3.78,19,19,const,const,tommaso
51,3.42,19,19,const,const,tommaso
52,4.09,19,19,const,const,paul
53,2.77,19,19,const,const,paul
54,3.68,19,19,const,const,paul
55,3.8,19,19,const,const,tommaso
56,3.38,19,19,const,const,paul
57,3.76,19,19,const,const,paul
58,3.42,19,19,const,const,paul
59,3.38,19,19,const,const,tommaso
60,3.9,19,19,const,const,paul
61,4.08,19,19,fluct,fluct,paul
62,3.84,19,19,fluct,fluct,tommaso
63,4.13,19,19,fluct,fluct,paul
64,3.84,19,19,fluct,fluct,paul
65,3.91,19,19,fluct,fluct,paul
66,4.2,19,19,fluct,fluct,paul
68,3.97,19,19,fluct,fluct,tommaso
69,3.57,19,19,fluct,fluct,paul
69,3.51,19,19,fluct,fluct,paul
70,3.89,19,19,fluct,fluct,paul
71,3.7,19,19,fluct,fluct,tommaso
72,4.37,19,19,fluct,fluct,tommaso
73,4.89,19,19,fluct,fluct,tommaso
74,4.08,19,19,fluct,fluct,tommaso
75,3.58,19,19,fluct,fluct,tommaso
76,4.33,19,19,fluct,fluct,tommaso
77,3.69,19,19,fluct,fluct,tommaso
78,3.54,19,19,fluct,fluct,tommaso
79,4.05,19,19,fluct,fluct,paul
80,3.94,19,19,fluct,fluct,paul
