Animal #,Photoperiod,Food,Injection,Baseline body mass (g),Week 1 body mass (g),Week 2 body mass (g),Week 3 body mass (g),Week 4 body mass (g),Week 5 body mass (g),Week 6 body mass (g),Baseline food intake (average daily) (g),Week 1 food intake (g),Week 2 food intake (g),Week 3 food intake (g),Week 4 food intake (g),Week 5 food intake (g),Week 6 food intake (g),Baseline Estimated Testis Volume (ETV) (mm^3),Week 1 ETV (mm^3),Week 2 ETV (mm^3),Week 3 ETV (mm^3),Week 4 ETV (mm^3),Week 5 ETV (mm^3),Week 6 ETV (mm^3),Final paired testes mass (g),Epididymal White Adipose Tissue (EWAT) mass (g),Baseline serum LH (ng/mL),Week 6 serum LH (ng/mL),Baseline serum Testosterone (ng/mL),Week 6 serum Testosterone (ng/mL)
50,ID,AL,Kisspeptin,41.9,42,41.5,41.7,41.9,41.4,41.1,4.7,32.8,32.8,29.5,33,30.4,32,1848.97,1665.04,1987.93,1693.61,1672.34,1475.62,2046.15,0.669,1.079,0.87,0.12,1.29,4.89
51,ID,AL,Vehicle,34.4,35.4,35.2,35.4,36,35.2,34.9,4.6,36.4,32.4,28.2,34.1,29.1,28.6,1691.89,1465.05,1677.44,1497.91,1606.40,1535.53,1396.85,0.353,0.765,0.57,0.33,2.76,5.74
52,SD,AL,Vehicle,48.5,48.1,47.1,44.5,43.9,40.5,35.7,4.8,34.6,34.6,25.9,31.1,30.8,21.6,1898.45,1676.28,1601.14,1566.99,1466.01,1094.63,792.46,0.063,0.436,1.53,0.25,6.75,3.35
53,ID,AL,Kisspeptin,40.9,38.4,37.9,37.8,36.1,35.4,34.6,3.7,25.1,27.3,24.2,28.2,26.4,28,1548.44,1580.20,1635.32,1669.34,1500.49,1584.51,1534.90,0.627,0.479,1.13,0.12,10.54,4.34
54,SD,AL,Kisspeptin,46.2,46.9,47.4,45.6,44.2,43.8,39.6,4.9,36,38.3,29.8,34.8,25.1,25.3,1669.73,2228.41,1890.42,1601.80,1385.57,1247.04,1193.69,0.137,0.724,2.32,0.035,19.88,1.88
55,SD,FR,Kisspeptin,41.8,39.1,35.9,32.9,32.4,31.9,30.1,4.4,26.7,25.4,23.5,23.8,25,22.4,1892.85,1356.80,1287.37,523.36,414.14,361.81,325.60,0.096,0.298,2.46,0.025,7.79,4.58
56,ID,FR,Vehicle,47.4,45.4,44.4,43.5,42.8,41.1,39.1,4.6,28.7,28.7,28.7,28.7,25.9,25.9,1774.61,1425.47,1745.05,1736.57,1275.22,1599.94,1068.82,0.734,0.826,0.94,0.56,4.88,3.96
57,ID,FR,Kisspeptin,39.5,39.5,38.4,37.8,38.2,37.2,35,5.0,31.5,28.4,30.6,30.7,28,28,1644.00,1580.89,2074.80,2104.22,1222.68,1330.80,1235.65,0.523,0.689,2.15,0.035,25.50,1.53
58,SD,AL,Vehicle,32.2,33,31.4,29.2,26.3,26.6,25.1,3.4,30.4,32.4,19,21.8,24.3,23.8,1002.30,1410.68,1226.30,1190.17,666.36,440.39,494.67,0.043,0.104,2.46,0.4,1.98,1.82
59,ID,FR,Kisspeptin,38.8,36.5,35,34,33.6,32.1,30.2,4.0,23.1,23.1,23.1,23.1,20.3,20.3,1197.41,1367.28,1219.29,908.61,927.04,556.45,905.66,0.446,0.582,2.03,0.11,42.66,4.20
