site,site.dist,carcasses,date,Manta.time,discharge,Temp_deg_C,Turb_NTU,Chl_ug.l,HDO_mg.l,HDO_.Sat,SpCond_uS.cm,SpCond_mS.cm,Salinity_PSS,TDS_mg.l,pH_units,pH_mV,Int_Batt_V,BP_mmHg,Sample.Time,DOC.mgL,DOC.Flux.kgd,NO3.ugL,NO3.Flux.kgd,PO4.ugL,PO4.Flux.kgd,NH4.ugL,NH4.Flux.kgd,TDN.mgL,TDP.ugL,TN.mgL,TN.ugL,TN.Flux.kgd,TP.ugL,TP.Flux.kgd,TSS.mgL,TSS.flux.kgd,AFDM.mgL,AFDM.flux.kgd,Org.pct,Chl.ugL,CPOM.mgL,CPOM.flux.kgd
Site 1,0,n,11/20/2013,13:45,8.67,20.62,72.4,1.9,7.13,97.3,167.5,0.167,0.08,107.2,6.82,14.99,9.17,624,12:00,2.43,1820.28384,810.08,606.821207,3.27,2.44951776,59.15,44.3085552,,,0.84,840,629.23392,70.4,52.7357952,77.22222222,57846.24,13.33,9985.34304,0.17,1.002832861,0.096691668,72.43056814
Site 1,0,n,11/28/2013,9:30,7.11,18.91,56.6,1.9,7.12,93.8,187.9,0.187,0.09,120.2,6.66,24.35,8.39,624,9:30,2.59,1591.04736,741.98,455.8012819,1.76,1.08117504,21.73,13.34882592,,,0.92,920,565.15968,65.91,40.48877664,29.41176471,18067.76471,5.88,3612.10752,0.2,0.414722628,0.070248642,43.15402185
Site 1,0,n,1/15/2014,11:00,5.71,21.28,53,2.32,6.66,92.1,281.8,0.281,0.13,180.4,7.08,-1.6,8.32,624,11:00,2.65,1307.3616,863.74,426.1209466,6.49,3.20180256,81.75,40.330872,,,1.48,1480,730.14912,95.17,46.95154848,27,13320.288,2.5,1233.36,0.09,0.78796988,0.019797588,9.767021242
Site 1,0,n,2/15/2014,15:15,4.77,23.35,273.6,5.99,6.56,94.6,592.7,0.592,0.28,379.3,7.71,-1.69,9.05,624,14:30,3.19,1314.68832,1016.02,418.7302906,25.26,10.41035328,64.65,26.6440752,,,1.65,1650,680.0112,142.25,58.625208,134.4262295,55400.81311,19.67,8106.55776,0.15,1.005633929,0.006530928,2.691578479
Site 1,0,n,2/25/2014,16:45,,23.75,245.5,5.4,6.29,91.3,506.4,0.506,0.24,324.1,7.58,5.56,8.32,624,16:45,3.17,,841.32,,11.88,,383.21,,,,1.6,1600,,158.96,,154,,20,,0.13,1.36585,0.000621993,
Site 1,0,n,3/26/2014,17:45,,22.17,1572,10.24,5.96,84,491.8,0.491,0.23,314.8,7.51,9.81,8.32,624,17:45,6.33,,875.59,,43.16,,51.02,,,,3.9,3900,,606.22,,1285,,155,,0.12,7.6995,0.047815726,
Site 2,51,n,6/22/2011,11:30,15.7,21.12,277.2,6.21,7.28,98.6,87.1,0.087,0.04,55.7,7.38,-16.75,9.15,634,11:30,3.1,4205.088,1050,1424.304,14.8,20.075904,,,1.37,41.16,,,,,,325.1,440991.648,47.81,64853.3088,0.15,3.898425,,
Site 2,51,n,6/28/2011,17:30,17.9,20.9,354,6.2,7.21,97.3,72.6,0.072,0.03,46.5,7.05,2.32,8.32,634,17:24,2.43,3758.1408,990,1531.0944,21.5,33.25104,37.56,58.0887936,1.38,45.48,,,,,,410.87,635435.1072,61.95,95809.392,0.15,4.38075,,
Site 2,51,n,7/2/2011,15:15,16.95,21.35,291.6,5.7,7.22,98.2,72.8,0.072,0.03,46.5,7.2,-6.42,8.11,634,15:15,3.13,4583.8224,910,1332.6768,8.8,12.887424,,,1.22,46.08,,,,,,264.11,386783.8128,39.26,57495.4848,0.15,2.960325,,
Site 2,51,n,7/7/2011,16:45,17.37,21.17,5.3,2.74,7.17,97.2,69.6,0.069,0.03,44.5,7.13,-2.56,6.93,634,16:45,2.3,3451.7664,880,1320.67584,25.6,38.4196608,15.52,23.29191936,1.26,46.21,,,,,,366.83,550526.7254,56.84,85303.65312,0.15,2.0332875,,
Site 2,51,y,7/23/2011,16:15,13.45,,,,,,,,,,,,,,16:20,2.23,2591.4384,740,859.9392,28.1,32.654448,71.93,83.5884144,1.18,64.41,,,,,,115.49,134208.6192,18.53,21533.3424,0.16,1.3474125,,
Site 2,51,y,8/2/2011,12:00,15.19,,,,,,,,,,,,,,12:00,3.94,5170.91904,660,866.19456,12.3,16.1427168,17.57,23.05914912,0.81,35.63,,,,,,,,,,0.17,3.0798,,
Site 2,51,y,8/21/2011,13:30,20.6,,,,,,,,,,,,,,13:30,2.75,4894.56,810,1441.6704,10.8,19.222272,,,1.24,46.85,,,,,,295.29,525568.9536,45.04,80163.9936,0.15,,,
Site 2,51,n,7/23/2012,17:00,15.1,,,,,,,,,,,,,,17:00,2.47,3222.4608,830.55,1083.568752,12.28,16.0209792,13.72,17.8996608,,,0.98,,1278.5472,111.3,145.206432,127.74,166654.7136,18.14,23666.1696,0.14,3.5223,5.168763371,6743.375444
Site 2,51,y,9/5/2012,13:30,19.07,,,,,,,,,,,,,,13:30,2.59,4271.087665,953.95,1571.918967,14.93,24.59828563,18.03,29.70976489,NA,NA,1.56,,2570.184043,175.5,289.1908086,259.24,427174.6783,28.34,46698.54337,0.11,1.305375,4.534330322,7471.652124
Site 2,51,y,10/9/2012,14:00,8.89,22.92,69.4,0.84,7,98.3,101.5,0.101,0.05,64.9,7.76,-54.29,8.64,634,14:00,2.27,1743.57792,829.33,637.0050557,16.49,12.66590304,,,,,1.04,,798.81984,76.9,59.0665824,70.74,54335.11104,13.16,10108.14336,0.19,2.0827,1.749355834,1343.673219
Site 2,51,y,11/7/2012,13:00,26.29,,,,,,,,,,,,,,13:00,3.16,7177.80096,1073.23,2437.794723,8.12,18.44422272,23.95,54.4013712,,,1.92,,4361.19552,200.65,455.7676464,561.93,1276399.27,76,172630.656,0.14,3.28335,,
Site 2,51,y,12/1/2012,10:45,9.64,,,,,,,,,,,,,,10:45,2.26,1882.34496,967.44,805.7769062,20.78,17.30757888,45.51,37.90509696,,,1.52,,1266.00192,94.96,79.09180416,91.06666667,75849.0624,20,16657.92,0.22,2.9146,0.772758925,643.6278175
Site 2,51,y,8/20/2013,14:15,18.75,,,,,,,,,,,,,,14:15,5.5,8910,735.98,1192.2876,6.31,10.2222,21.46,34.7652,,,2.09,,3385.8,249.66,404.4492,501.7241379,812793.1034,62.07,100553.4,0.12,5.084868421,2.495502133,4042.713455
Site 2,51,y,8/28/2013,12:00,17.14,,,,,,,,,,,,,,12:00,2.02,2991.40992,829.32,1228.136671,5.71,8.45591616,9.41,13.93523136,,,1.34,,1984.40064,139.39,206.4220934,,,,,,,,
Site 2,51,y,9/12/2013,15:30,17.82,,,,,,,,,,,,,,15:30,2.49,3833.72352,822.55,1266.437462,9.57,14.73443136,42.8,65.8969344,,,1.09,,1678.21632,106.61,164.1418733,129.5039164,199390.4459,20.37,31362.62976,0.16,1.399472892,1.722442667,2651.955408
Site 2,51,y,10/10/2013,9:30,16.53,,,,,,,,,,,,,,9:30,2.33,3327.68736,870.25,1242.884088,5.74,8.19782208,43.03,61.45510176,,,0.86,,1228.24512,62.89,89.81899488,104.8275862,149713.92,22.07,31520.19744,0.21,1.647522321,0.883566536,1261.902658
Site 2,51,y,10/26/2013,12:45,7.91,,,,,,,,,,,,,,12:40,3.29,2248.46496,868.13,593.3008771,,,61.48,42.01690752,,,1.26,,861.11424,96.01,65.61553824,46.66666667,31893.12,13.33,9110.04192,0.29,1.703625,,
Site 2,51,n,11/18/2013,10:30,9.18,,,,,,,,,,,,,,10:35,3.2,2538.0864,728.03,577.4384506,5,3.96576,68.33,54.19607616,,,1.17,,927.98784,100.2,79.4738304,61.05263158,48424.01684,12.63,10017.50976,0.21,2.787525381,0.339693096,269.4282589
Site 2,51,n,11/28/2013,16:30,6.96,,,,,,,,,,,,,,16:25,2.93,1761.93792,744.6339963,447.7811859,12.08487392,7.267166424,23.73657413,14.27384643,,,0.9,,538.20288,65,39.08435328,47.12041885,28335.58115,7.85,4720.5504,0.17,2.417783505,0.205616593,123.6463047
Site 2,51,n,1/13/2014,10:45,6.99,,,,,,,,,,,,,,10:50,3.58,2162.09088,1254.79,757.8128534,28.43,17.16990048,109.77,66.29405472,,,2.18,,1316.58048,212.16,128.1310618,132.5,80021.52,13,7851.168,0.1,5.642970297,0.12272404,74.11746585
Site 2,51,n,2/13/2014,12:15,4.84,,,,,,,,,,,,,,12:15,5.72,2391.96672,1420.38,593.9688269,39.39,16.47195264,268.37,112.2258931,,,3.59,,1501.25184,359.09,150.1628198,242,101198.592,40,16727.04,0.17,11.18892857,0.027989693,11.704618
Site 2,51,n,2/26/2014,11:30,,,,,,,,,,,,,,,11:30,5.15,,943.74,,20.3,,163.57,,,,3.28,,,403.04,,355,,50,,0.14,10.40507143,0.03470722,
Site 2,51,n,3/27/2014,12:20,,,,,,,,,,,,,,,12:20,6.76,,962.02,,22.32,,134.12,,,,4.31,,,599.86,,1290,,155,,0.12,5.597625,0.16793816,
Site 3,125,n,6/3/2011,14:00,5.32,25.06,232.6,5.36,4.78,69.1,180.5,0.18,0.08,115.5,7.23,-4.86,8.54,641,14:00,4.63,2128.17024,1150,528.5952,28.8,13.2378624,,,1.71,96.19,2.26,,1038.80448,207.82,95.52404736,248.95,114429.3696,42.14,19369.56672,0.17,,,
Site 3,125,n,6/16/2011,14:30,30.16,24.14,1847,3.33,4.89,69.3,162.5,0.162,0.08,104,6.9,12.6,9.12,643,14:30,5.4,14071.4496,820,2136.77568,4.5,11.726208,148.78,387.6944947,1.08,25.44,5.08,,13237.58592,328.82,856.8470477,2152.63,5609374.917,306.29,798137.833,0.14,12.036,,
Site 3,125,n,6/18/2011,16:00,9.14,25.27,823.9,3.01,5.63,81.8,126.5,0.126,0.06,80.9,7.03,5.02,8.93,641,16:00,4.77,3766.84992,1130,892.35648,37.6,29.6925696,134.06,105.8666458,1.55,55,3.32,,2621.79072,211.22,166.7995891,,,,,,4.3188,,
Site 3,125,n,6/28/2011,11:45,15.4,21.34,700.6,2.84,6.17,83.1,93.9,0.093,0.04,60.1,7.04,4.36,8.91,641,11:45,2.61,3472.7616,1150,1530.144,27.3,36.324288,135.1,179.758656,1.39,50.89,3.08,,4098.1248,203.45,270.702432,823.76,1096062.106,113.81,151431.0336,0.14,1.7995,,
Site 3,125,n,7/5/2011,17:30,16.94,24.21,495.3,2.68,6,85.3,82.8,0.082,0.04,53,6.96,8.97,8.01,641,17:45,3.15,4610.3904,1060,1551.43296,18.7,27.3696192,39.94,58.45682304,1.29,59.51,2.69,,3937.12704,182.24,266.7293798,630.83,923292.8813,92.14,134857.5782,0.15,6.87055,,
Site 3,125,n,7/13/2011,15:45,11.9,23.5,280.4,2.18,6.32,88.5,82.7,0.082,0.04,52.9,6.97,8.23,9.24,642,15:45,2.9,2981.664,1090,1120.6944,45,46.2672,,,1.38,70.8,2.16,,2220.8256,159.2,163.683072,287.28,295369.8048,44.77,46030.7232,0.16,3.70815,,
